type,s,d,n,p,k,seed
cauchy,100,3,1000,low,small,278
tdistDeg4,100,3,1000,low,small,278
cauchy,100,3,5000,low,small,278
tdistDeg4,100,3,5000,low,small,278
cauchy,100,3,1000,medium,small,278
tdistDeg4,100,3,1000,medium,small,278
cauchy,100,3,5000,medium,small,278
tdistDeg4,100,3,5000,medium,small,278
cauchy,100,3,1000,high,small,278
tdistDeg4,100,3,1000,high,small,278
cauchy,100,3,5000,high,small,278
tdistDeg4,100,3,5000,high,small,278
cauchy,100,3,1000,low,medium,278
tdistDeg4,100,3,1000,low,medium,278
cauchy,100,3,5000,low,medium,278
tdistDeg4,100,3,5000,low,medium,278
cauchy,100,3,1000,medium,medium,278
tdistDeg4,100,3,1000,medium,medium,278
cauchy,100,3,5000,medium,medium,278
tdistDeg4,100,3,5000,medium,medium,278
cauchy,100,3,1000,high,medium,278
tdistDeg4,100,3,1000,high,medium,278
cauchy,100,3,5000,high,medium,278
tdistDeg4,100,3,5000,high,medium,278
cauchy,100,3,1000,low,large,278
tdistDeg4,100,3,1000,low,large,278
cauchy,100,3,5000,low,large,278
tdistDeg4,100,3,5000,low,large,278
cauchy,100,3,1000,medium,large,278
tdistDeg4,100,3,1000,medium,large,278
cauchy,100,3,5000,medium,large,278
tdistDeg4,100,3,5000,medium,large,278
cauchy,100,3,1000,high,large,278
tdistDeg4,100,3,1000,high,large,278
cauchy,100,3,5000,high,large,278
tdistDeg4,100,3,5000,high,large,278
cauchy,100,2,1000,low,small,278
cauchyAff,100,2,1000,low,small,278
tdistDeg4,100,2,1000,low,small,278
cauchy,100,2,5000,low,small,278
cauchyAff,100,2,5000,low,small,278
tdistDeg4,100,2,5000,low,small,278
cauchy,100,2,1000,medium,small,278
cauchyAff,100,2,1000,medium,small,278
tdistDeg4,100,2,1000,medium,small,278
cauchy,100,2,5000,medium,small,278
cauchyAff,100,2,5000,medium,small,278
tdistDeg4,100,2,5000,medium,small,278
cauchy,100,2,1000,high,small,278
cauchyAff,100,2,1000,high,small,278
tdistDeg4,100,2,1000,high,small,278
cauchy,100,2,5000,high,small,278
cauchyAff,100,2,5000,high,small,278
tdistDeg4,100,2,5000,high,small,278
cauchy,100,2,1000,low,medium,278
cauchyAff,100,2,1000,low,medium,278
tdistDeg4,100,2,1000,low,medium,278
cauchy,100,2,5000,low,medium,278
cauchyAff,100,2,5000,low,medium,278
tdistDeg4,100,2,5000,low,medium,278
cauchy,100,2,1000,medium,medium,278
cauchyAff,100,2,1000,medium,medium,278
tdistDeg4,100,2,1000,medium,medium,278
cauchy,100,2,5000,medium,medium,278
cauchyAff,100,2,5000,medium,medium,278
tdistDeg4,100,2,5000,medium,medium,278
cauchy,100,2,1000,high,medium,278
cauchyAff,100,2,1000,high,medium,278
tdistDeg4,100,2,1000,high,medium,278
cauchy,100,2,5000,high,medium,278
cauchyAff,100,2,5000,high,medium,278
tdistDeg4,100,2,5000,high,medium,278
cauchy,100,2,1000,low,large,278
cauchyAff,100,2,1000,low,large,278
tdistDeg4,100,2,1000,low,large,278
cauchy,100,2,5000,low,large,278
cauchyAff,100,2,5000,low,large,278
tdistDeg4,100,2,5000,low,large,278
cauchy,100,2,1000,medium,large,278
cauchyAff,100,2,1000,medium,large,278
tdistDeg4,100,2,1000,medium,large,278
cauchy,100,2,5000,medium,large,278
cauchyAff,100,2,5000,medium,large,278
tdistDeg4,100,2,5000,medium,large,278
cauchy,100,2,1000,high,large,278
cauchyAff,100,2,1000,high,large,278
tdistDeg4,100,2,1000,high,large,278
cauchy,100,2,5000,high,large,278
cauchyAff,100,2,5000,high,large,278
tdistDeg4,100,2,5000,high,large,278
tdistSkew,1,2,1000,low,small,278
tdistSkew,1,2,5000,low,small,278
tdistSkew,1,2,1000,medium,small,278
tdistSkew,1,2,5000,medium,small,278
tdistSkew,1,2,1000,high,small,278
tdistSkew,1,2,5000,high,small,278
tdistSkew,1,2,1000,low,medium,278
tdistSkew,1,2,5000,low,medium,278
tdistSkew,1,2,1000,medium,medium,278
tdistSkew,1,2,5000,medium,medium,278
tdistSkew,1,2,1000,high,medium,278
tdistSkew,1,2,5000,high,medium,278
tdistSkew,1,2,1000,low,large,278
tdistSkew,1,2,5000,low,large,278
tdistSkew,1,2,1000,medium,large,278
tdistSkew,1,2,5000,medium,large,278
tdistSkew,1,2,1000,high,large,278
tdistSkew,1,2,5000,high,large,278
